%VH	VH
436.174	0.705782061276854
436.756	0.513929621556865
437.34	0.332608042868765
437.924	0.193386464180666
438.508	0.238375885492566
439.092	0.169330306804466
439.674	0.195023867084477
440.258	0.224224288396377
440.842	0.202546709708278
441.426	0.291396131020178
442.009	0.401301621816134
442.591	0.530499182096144
443.175	0.656194603408044
443.759	0.771360024719945
444.34	0.77774865448401
444.924	0.840284075795911
445.508	0.911589497107811
446.091	0.895175987903766
446.673	0.713853548183777
447.256	0.572880038979732
447.84	0.445935460291633
448.421	0.343564090055698
449.004	0.249957580851653
449.586	0.182669141131664
450.169	0.225904631927619
450.752	0.284930122723575
451.333	0.23694075248764
451.917	0.32403517379954
452.498	0.318150803563606
453.081	0.326299294359561
453.664	0.259009785155517
454.245	0.246107414919582
454.828	0.166535905715537
455.409	0.236090535479603
455.992	0.165291026275558
456.573	0.159406656039623
457.155	0.141240216319634
457.736	0.123075846083699
458.319	0.0943813368796544
458.9	0.14112896664372
459.482	0.13524352692373
460.063	0.118832156687796
460.646	0.118208647483751
461.226	0.0491673467318712
461.807	0.0643359764959366
462.389	0.125116536775947
462.97	0.0823901665400122
463.552	0.116855726820023
464.133	0.088163356584088
464.713	0.0296490558322082
465.295	0.0904296161122185
465.876	0.067001245876284
466.456	0.0576089451244042
467.038	0.0411975054044147
467.618	0.079173204652535
468.198	0.0522369039006553
468.78	0.00600046418066556
469.36	0.038714163428786
469.94	0.0749358626769062
470.52	0.0497535619250265
471.102	0.0333421222050369
471.682	0.0169318214531571
472.262	0.0312932914263402
472.842	-0.00668803693186883
473.424	0.0676137577155835
474.004	0.0348964293573747
474.583	0.028493039496335
475.163	0.0589337111381261
475.743	0.0402513827799171
476.324	0.0742011159245388
476.904	-0.00413021243367019
477.483	0.0771853977052903
478.063	0.0479770693470813
478.642	0.0731526794860416
479.222	0.0351723511278327
479.803	0.0726310842724543
480.382	0.0504386944114149
480.962	0.0457913660532059
481.541	0.0569319761921662
482.12	0.0575465863311265
482.699	0.0493891964700869
483.279	0.0745668681118781
483.858	0.0681634782508383
484.437	0.0371990883897988
485.016	0.0711466985287591
485.595	0.0594813086677196
486.174	0.0618499188066798
486.753	0.0642185289456402
487.332	0.0543071390846006
487.911	0.072465749223561
488.489	0.0660612978596906
489.068	0.059658907998651
489.647	0.0374665181376115
490.226	0.0415901282765718
490.804	0.0843086769127014
491.383	0.0252742870516619
491.962	0.0539588971906223
492.538	0.0896583228210906
493.117	0.0604479329600509
493.695	0.0312364815961806
494.274	0.028343091735141
494.852	0.0307106403712707
495.43	0.0295701890074004
496.009	0.0512367991463608
496.585	-0.00780077522317092
497.163	0.0261467734129588
497.742	-0.0135896164480808
498.32	0.0501819321880489
498.898	0.0139524808241786
499.474	0.014563906454647
500.052	-0.0111375449092234
500.63	0.0122830037269063
501.208	0.0181595523630361
501.784	-0.0132813104653776
502.362	0.0271959806517367
502.94	0.025567271768851
503.518	0.0344655628859651
504.094	0.0451184170095946
504.672	0.00664770812670888
505.249	0.0453707807470807
505.825	0.0279526348707101
506.403	0.0456229259878243
506.98	0.0387309986081963
507.556	0.0564008527318257
508.134	0.00740414384893993
508.709	0.0671787794758268
509.287	0.0585330705929411
509.864	0.049887143213313
510.44	0.0447499973369424
511.017	0.0571570699573143
511.592	0.0590367055842013
512.17	0.141619996701316
512.747	0.154026069321687
513.322	0.296256704948574
513.899	0.749013777568946
514.474	1.30878941319583
515.052	1.21417570431295
515.627	0.917811339939835
516.204	0.398637412560206
516.779	0.168942048187093
517.356	0.146261120807465
517.931	0.0674397564343523
518.506	0.123705392061239
519.083	0.0659364646816111
519.657	0.0590448818117557
520.234	0.125837954432128
520.809	0.0996475900590145
521.386	0.0699486626793864
521.96	0.120951079809531
522.535	0.122831715436418
523.112	0.12120278805679
523.686	0.0862412051869346
524.261	0.0916298408138214
524.837	0.0707026949374508
525.412	0.090127330564338
525.986	0.0884977476944825
526.563	0.0517818203148544
527.137	0.037872237444999
527.711	-0.0111253454248565
528.286	0.0363692902020306
528.862	0.04526614432566
529.436	0.0594275614558046
530.01	0.0630609785859492
530.584	0.00704639571609388
531.161	-0.0384415316635344
531.735	0.00378888546661026
532.309	0.0161953025967549
532.883	0.0531627197268996
533.457	0.0374991368570441
534.032	0.0183257724839312
534.606	0.00967918961407575
535.18	0.00278760674422028
535.754	0.029229023874365
536.328	0.0012834410045096
536.902	0.0329878581346542
537.477	0.0208334937615412
538.051	0.0297309108916858
538.625	0.0210843280218303
539.198	0.0124375266552326
539.772	0.00905394378537715
540.345	0.0144421424187794
540.919	-0.0222744404510761
541.492	0.0182017581823262
542.066	0.0288514795975241
542.639	-0.0236885557703945
543.212	0.0360514088616867
543.786	0.0168445322453073
544.359	-6.08503122611417E-4
544.932	0.0363244615094699
545.505	0.0311524261415512
